CMPD_CHEMBLID	CYP3A4	hERG_pIC50
CHEMBL1085783	*	4.4
CHEMBL1084314	*	4.75
CHEMBL1085560	*	5.68
CHEMBL1085782	*	5
CHEMBL1082488	*	6.92
CHEMBL1086034	*	4.36
CHEMBL263101	*	4.4
CHEMBL1086315	*	5.7
CHEMBL1082781	*	4.58
CHEMBL1082447	*	4.7
CHEMBL1085800	*	5.5
CHEMBL1086514	*	4.7
CHEMBL1085336	*	5.55
CHEMBL1083407	*	5.44
CHEMBL1085124	*	5.7
CHEMBL1083447	*	5.08
CHEMBL1083448	*	5.44
CHEMBL1082496	*	4.75
CHEMBL1084560	*	4.92
CHEMBL1085829	*	6.21
CHEMBL1084581	*	4.4
CHEMBL1084616	*	4.68
CHEMBL1083406	*	4.55
CHEMBL1085572	*	5.92
CHEMBL442242	*	4.61
CHEMBL1084582	*	4.4
CHEMBL1084384	*	4.4
CHEMBL237191	*	4.98
CHEMBL1086513	*	5.87
CHEMBL392573	*	5.06
CHEMBL1086074	*	4.4
CHEMBL1085964	*	4.61
CHEMBL1085828	*	4.4
CHEMBL1084827	*	4.4
CHEMBL1084877	*	4.78
CHEMBL1083463	*	6.22
CHEMBL1083462	*	4.75
CHEMBL393581	*	4.7
CHEMBL1085326	*	5.68
CHEMBL1086073	*	5.55
CHEMBL1084294	*	4.69
CHEMBL1084879	*	5.82
CHEMBL1084878	*	5.8
CHEMBL1086072	*	4.91
CHEMBL1083562	*	5.7
CHEMBL1086521	*	4.94
CHEMBL1086098	*	5.55
CHEMBL1083274	*	4.4
CHEMBL1086520	*	6.06
CHEMBL1085641	*	5.7
CHEMBL1084559	*	4.69
CHEMBL1085866	*	4.95
CHEMBL1082606	*	5.22
CHEMBL1086292	*	5.43
CHEMBL1085841	*	5.32
CHEMBL1085592	*	4.5
CHEMBL1086561	*	4.69
CHEMBL1085142	*	5.76
CHEMBL1084383	*	5.55
CHEMBL1086032	*	4.4
CHEMBL351231	*	5.8
CHEMBL1813065	*	5
CHEMBL1813057	*	4.89
CHEMBL1935114	*	4.7
CHEMBL1829335	*	4.86
CHEMBL239081	*	6.3
CHEMBL394144	*	4.7
CHEMBL239299	4	5.8
CHEMBL2031762	*	6.85
CHEMBL2031885	*	5.02
CHEMBL2031760	*	6.52
CHEMBL1229211	4.19	*
CHEMBL511658	*	5.04
CHEMBL1092550	*	8.3
CHEMBL1092209	*	8.18
CHEMBL1092571	*	8.23
CHEMBL1089103	*	8.33
CHEMBL1089104	*	8.3
CHEMBL1089830	*	8.23
CHEMBL850	*	4.33
CHEMBL1272046	8.7	*
CHEMBL502092	8.51	*
CHEMBL2336331	*	5.4
CHEMBL2331605	*	4.88
CHEMBL2336328	*	4.89
CHEMBL516636	*	5.19
CHEMBL522964	6.36	6.36
CHEMBL465956	4.19	4.19
CHEMBL3408946	5.29	*
CHEMBL3288030	*	5.2
CHEMBL3288029	*	4.7
CHEMBL474934	4.23	*
CHEMBL523933	4.16	*
CHEMBL489479	5.33	*
CHEMBL3288010	6.4	*
CHEMBL480210	5.32	*
CHEMBL481575	5.28	*
CHEMBL479419	4.77	*
CHEMBL518142	4.85	*
